Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:32:47.814 307 187,kernel_0,0,sched_stat_runtime,"comm=lttng-sessiond, tid=2186, runtime=3985238, vruntime=102934052650075, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.814 329 658,kernel_3,3,sched_waking,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.814 330 777,kernel_3,3,sched_wakeup,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.814 336 119,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=rcu_sched, next_tid=7, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.814 338 099,kernel_3,3,sched_stat_runtime,"comm=rcu_sched, tid=7, runtime=4341, vruntime=108814778764936, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.814 339 645,kernel_3,3,sched_switch,"prev_comm=rcu_sched, prev_tid=7, prev_prio=20, prev_state=1, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.818 307 001,kernel_0,0,sched_stat_runtime,"comm=lttng-sessiond, tid=2186, runtime=3999910, vruntime=102934056649985, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.818 329 690,kernel_3,3,sched_waking,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.818 330 793,kernel_3,3,sched_wakeup,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.818 334 126,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=rcu_sched, next_tid=7, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.818 336 317,kernel_3,3,sched_stat_runtime,"comm=rcu_sched, tid=7, runtime=4617, vruntime=108814778769553, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.818 337 842,kernel_3,3,sched_switch,"prev_comm=rcu_sched, prev_tid=7, prev_prio=20, prev_state=1, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.822 306 897,kernel_0,0,sched_stat_runtime,"comm=lttng-sessiond, tid=2186, runtime=4000018, vruntime=102934060650003, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.822 329 606,kernel_3,3,sched_waking,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.822 330 726,kernel_3,3,sched_wakeup,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.822 334 099,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=rcu_sched, next_tid=7, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.822 336 197,kernel_3,3,sched_stat_runtime,"comm=rcu_sched, tid=7, runtime=4556, vruntime=108814778774109, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.822 337 684,kernel_3,3,sched_switch,"prev_comm=rcu_sched, prev_tid=7, prev_prio=20, prev_state=1, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.823 043 502,kernel_0,0,sched_switch,"prev_comm=lttng-sessiond, prev_tid=2186, prev_prio=20, prev_state=2048, next_comm=kworker/0:0, next_tid=15322, next_prio=20, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.823 047 991,kernel_0,0,sched_stat_runtime,"comm=kworker/0:0, tid=15322, runtime=741069, vruntime=102934040405906, context.packet_seq_num=0, context.cpu_id=0",15322.0,20.0,15322.0,
09:32:47.823 048 530,kernel_0,0,sched_switch,"prev_comm=kworker/0:0, prev_tid=15322, prev_prio=20, prev_state=1, next_comm=lttng-sessiond, next_tid=2186, next_prio=20, context.packet_seq_num=0, context.cpu_id=0",15322.0,20.0,15322.0,
09:32:47.823 049 657,kernel_0,0,sched_waking,"comm=kworker/0:0, tid=15322, prio=20, target_cpu=0, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 049 864,kernel_0,0,sched_stat_runtime,"comm=lttng-sessiond, tid=2186, runtime=1912, vruntime=102934060651915, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 050 325,kernel_0,0,sched_wakeup,"comm=kworker/0:0, tid=15322, prio=20, target_cpu=0, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 051 057,kernel_0,0,sched_waking,"comm=kworker/1:2, tid=5096, prio=20, target_cpu=1, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 051 659,kernel_0,0,sched_wakeup,"comm=kworker/1:2, tid=5096, prio=20, target_cpu=1, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 052 496,kernel_0,0,sched_waking,"comm=kworker/2:0, tid=11873, prio=20, target_cpu=2, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 052 986,kernel_0,0,sched_wakeup,"comm=kworker/2:0, tid=11873, prio=20, target_cpu=2, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 053 698,kernel_0,0,sched_waking,"comm=kworker/3:0, tid=2559, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 054 226,kernel_0,0,sched_wakeup,"comm=kworker/3:0, tid=2559, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 054 885,kernel_0,0,sched_switch,"prev_comm=lttng-sessiond, prev_tid=2186, prev_prio=20, prev_state=2, next_comm=kworker/0:0, next_tid=15322, next_prio=20, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 055 597,kernel_0,0,sched_stat_runtime,"comm=kworker/0:0, tid=15322, runtime=5741, vruntime=102934051657656, context.packet_seq_num=0, context.cpu_id=0",15322.0,20.0,15322.0,
09:32:47.823 055 947,kernel_0,0,sched_switch,"prev_comm=kworker/0:0, prev_tid=15322, prev_prio=20, prev_state=1, next_comm=swapper/0, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=0",15322.0,20.0,15322.0,
09:32:47.823 065 066,kernel_1,1,sched_switch,"prev_comm=swapper/1, prev_tid=0, prev_prio=20, prev_state=0, next_comm=kworker/1:2, next_tid=5096, next_prio=20, context.packet_seq_num=0, context.cpu_id=1",,,,
09:32:47.823 067 360,kernel_1,1,sched_stat_runtime,"comm=kworker/1:2, tid=5096, runtime=15758, vruntime=101229359523819, context.packet_seq_num=0, context.cpu_id=1",5096.0,20.0,5096.0,
09:32:47.823 079 794,kernel_1,1,sched_switch,"prev_comm=kworker/1:2, prev_tid=5096, prev_prio=20, prev_state=1, next_comm=swapper/1, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=1",5096.0,20.0,5096.0,
09:32:47.823 083 917,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=kworker/3:0, next_tid=2559, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.823 083 935,kernel_2,2,sched_switch,"prev_comm=swapper/2, prev_tid=0, prev_prio=20, prev_state=0, next_comm=kworker/2:0, next_tid=11873, next_prio=20, context.packet_seq_num=0, context.cpu_id=2",,,,
09:32:47.823 085 483,kernel_3,3,sched_waking,"comm=lttng-sessiond, tid=2186, prio=20, target_cpu=0, context.packet_seq_num=0, context.cpu_id=3",2559.0,20.0,2559.0,
09:32:47.823 086 243,kernel_2,2,sched_stat_runtime,"comm=kworker/2:0, tid=11873, runtime=33237, vruntime=102366915585173, context.packet_seq_num=0, context.cpu_id=2",11873.0,20.0,11873.0,
09:32:47.823 086 777,kernel_3,3,sched_wakeup,"comm=lttng-sessiond, tid=2186, prio=20, target_cpu=0, context.packet_seq_num=0, context.cpu_id=3",2559.0,20.0,2559.0,
09:32:47.823 087 106,kernel_2,2,sched_switch,"prev_comm=kworker/2:0, prev_tid=11873, prev_prio=20, prev_state=1, next_comm=swapper/2, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=2",11873.0,20.0,11873.0,
09:32:47.823 087 930,kernel_3,3,sched_stat_runtime,"comm=kworker/3:0, tid=2559, runtime=33772, vruntime=108814778776733, context.packet_seq_num=0, context.cpu_id=3",2559.0,20.0,2559.0,
09:32:47.823 088 041,kernel_0,0,sched_switch,"prev_comm=swapper/0, prev_tid=0, prev_prio=20, prev_state=0, next_comm=lttng-sessiond, next_tid=2186, next_prio=20, context.packet_seq_num=0, context.cpu_id=0",0.0,20.0,,
09:32:47.823 088 704,kernel_3,3,sched_switch,"prev_comm=kworker/3:0, prev_tid=2559, prev_prio=20, prev_state=1, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",2559.0,20.0,2559.0,
09:32:47.823 089 367,kernel_0,0,syscall_exit_ioctl,"ret=0, arg=0, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,[fs/ioctl.c:0]
09:32:47.823 091 022,kernel_0,0,syscall_entry_ioctl,"fd=13, cmd=63048, arg=0, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,[fs/ioctl.c:0]
09:32:47.823 092 547,kernel_0,0,sched_stat_runtime,"comm=lttng-sessiond, tid=2186, runtime=6412, vruntime=102934060658327, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.823 092 793,kernel_0,0,sched_switch,"prev_comm=lttng-sessiond, prev_tid=2186, prev_prio=20, prev_state=2, next_comm=swapper/0, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.826 310 526,kernel_0,0,sched_waking,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=0",0.0,20.0,,
09:32:47.826 310 984,kernel_0,0,sched_wakeup,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=0",0.0,20.0,,
09:32:47.826 330 046,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=rcu_sched, next_tid=7, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.826 332 401,kernel_3,3,sched_stat_runtime,"comm=rcu_sched, tid=7, runtime=3885, vruntime=108814778777994, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.826 333 141,kernel_3,3,sched_switch,"prev_comm=rcu_sched, prev_tid=7, prev_prio=20, prev_state=1, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.830 309 505,kernel_0,0,sched_process_free,"comm=lttng, tid=5122, prio=20, context.packet_seq_num=0, context.cpu_id=0",0.0,20.0,,
09:32:47.830 325 580,kernel_3,3,sched_waking,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.830 326 746,kernel_3,3,sched_wakeup,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.830 332 468,kernel_3,3,sched_waking,"comm=ksoftirqd/3, tid=23, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.830 332 992,kernel_3,3,sched_wakeup,"comm=ksoftirqd/3, tid=23, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.830 334 559,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=ksoftirqd/3, next_tid=23, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.830 350 226,kernel_3,3,sched_stat_runtime,"comm=ksoftirqd/3, tid=23, runtime=17231, vruntime=108814778760192, context.packet_seq_num=0, context.cpu_id=3",23.0,20.0,23.0,
09:32:47.830 350 935,kernel_3,3,sched_switch,"prev_comm=ksoftirqd/3, prev_tid=23, prev_prio=20, prev_state=1, next_comm=rcu_sched, next_tid=7, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",23.0,20.0,23.0,
09:32:47.830 353 124,kernel_3,3,sched_stat_runtime,"comm=rcu_sched, tid=7, runtime=3058, vruntime=108814778781052, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.830 354 097,kernel_3,3,sched_switch,"prev_comm=rcu_sched, prev_tid=7, prev_prio=20, prev_state=1, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.834 310 268,kernel_0,0,sched_waking,"comm=lttng-sessiond, tid=2186, prio=20, target_cpu=0, context.packet_seq_num=0, context.cpu_id=0",0.0,20.0,,
09:32:47.834 310 650,kernel_0,0,sched_wakeup,"comm=lttng-sessiond, tid=2186, prio=20, target_cpu=0, context.packet_seq_num=0, context.cpu_id=0",0.0,20.0,,
09:32:47.834 311 791,kernel_0,0,sched_switch,"prev_comm=swapper/0, prev_tid=0, prev_prio=20, prev_state=0, next_comm=lttng-sessiond, next_tid=2186, next_prio=20, context.packet_seq_num=0, context.cpu_id=0",0.0,20.0,,
09:32:47.834 312 434,kernel_0,0,syscall_exit_ioctl,"ret=0, arg=0, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,[fs/ioctl.c:0]
09:32:47.834 313 798,kernel_0,0,syscall_entry_sendmsg,"fd=46, msg=140639186704848, flags=0, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,[net/socket.c:0]
09:32:47.834 315 761,kernel_0,0,sched_waking,"comm=lttng, tid=5123, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.834 316 232,kernel_0,0,sched_wakeup,"comm=lttng, tid=5123, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.834 316 757,kernel_0,0,syscall_exit_sendmsg,"ret=20, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,[net/socket.c:0]
09:32:47.834 317 209,kernel_0,0,syscall_entry_close,"fd=46, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,[fs/open.c:0]
09:32:47.834 317 882,kernel_0,0,syscall_exit_close,"ret=0, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,[fs/open.c:0]
09:32:47.834 321 984,kernel_0,0,syscall_entry_epoll_wait,"epfd=27, maxevents=2, timeout=-1, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,[fs/eventpoll.c:0]
09:32:47.834 323 228,kernel_0,0,sched_stat_runtime,"comm=lttng-sessiond, tid=2186, runtime=12655, vruntime=102934060670982, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.834 323 614,kernel_0,0,sched_switch,"prev_comm=lttng-sessiond, prev_tid=2186, prev_prio=20, prev_state=1, next_comm=swapper/0, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=0",2186.0,20.0,2047.0,
09:32:47.834 324 684,kernel_3,3,sched_waking,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.834 325 731,kernel_3,3,sched_migrate_task,"comm=rcu_sched, tid=7, prio=20, orig_cpu=3, dest_cpu=0, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.834 326 691,kernel_3,3,sched_wakeup,"comm=rcu_sched, tid=7, prio=20, target_cpu=0, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.834 329 622,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=lttng, next_tid=5123, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.834 333 418,kernel_3,3,syscall_exit_recvmsg,"ret=20, msg=140726499804304, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[net/socket.c:0]
09:32:47.834 334 650,kernel_3,3,syscall_entry_shutdown,"fd=3, how=2, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[net/socket.c:0]
09:32:47.834 335 276,kernel_0,0,sched_switch,"prev_comm=swapper/0, prev_tid=0, prev_prio=20, prev_state=0, next_comm=rcu_sched, next_tid=7, next_prio=20, context.packet_seq_num=0, context.cpu_id=0",0.0,20.0,,
09:32:47.834 335 349,kernel_3,3,syscall_exit_shutdown,"ret=0, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[net/socket.c:0]
09:32:47.834 335 712,kernel_3,3,syscall_entry_close,"fd=3, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[fs/open.c:0]
09:32:47.834 336 236,kernel_3,3,syscall_exit_close,"ret=0, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[fs/open.c:0]
09:32:47.834 337 092,kernel_0,0,sched_stat_runtime,"comm=rcu_sched, tid=7, runtime=10959, vruntime=102934051720032, context.packet_seq_num=0, context.cpu_id=0",7.0,20.0,7.0,
09:32:47.834 337 443,kernel_0,0,sched_switch,"prev_comm=rcu_sched, prev_tid=7, prev_prio=20, prev_state=1, next_comm=swapper/0, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=0",7.0,20.0,7.0,
09:32:47.834 343 171,kernel_3,3,syscall_entry_newfstat,"fd=1, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[fs/stat.c:0]
09:32:47.834 344 066,kernel_3,3,syscall_exit_newfstat,"ret=0, statbuf=140726499816048, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[fs/stat.c:0]
09:32:47.834 344 455,kernel_3,3,syscall_entry_ioctl,"fd=1, cmd=21505, arg=140726499815904, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[fs/ioctl.c:0]
09:32:47.834 346 232,kernel_3,3,syscall_exit_ioctl,"ret=0, arg=140726499815904, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[fs/ioctl.c:0]
09:32:47.834 346 634,kernel_3,3,syscall_entry_mmap,"addr=0x0, len=4096, prot=3, flags=34, fd=-1, offset=0, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[arch/x86/kernel:0]
09:32:47.834 349 595,kernel_3,3,syscall_exit_mmap,"ret=0x7f073d684000, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[arch/x86/kernel:0]
09:32:47.834 354 045,kernel_3,3,syscall_entry_write,"fd=1, buf=139669071740928, count=53, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[fs/read_write.c:0]
09:32:47.834 494 279,kernel_3,3,syscall_exit_write,"ret=53, context.packet_seq_num=0, context.cpu_id=3",5123.0,20.0,5123.0,[fs/read_write.c:0]
